"titre";"url";"Jeu par défaut";"PQN française";"PQR française";"Agence de presse";"Presse magazine";"Actualité nationale";"Actualité politique, débats et dossiers";"Actualité internationale";"Actualité économique et finance";"Actualité sciences, culture, arts et média";"Actualité énergie et environnement";"Actualité numérique";"Actualité sports";"Actualité Style, déco, famille et mode de vie";"Actualité argent et placements";"Actualité Justice, insolite, vidéos et faits-divers";"Actualité vie quotidienne, santé et auto-moto";"Actualité locale et sorties";"Actualité éducation, études formation et emploi";"Communauté du renseignement économique"
"Leparisien.fr - Loisirs & Spectacles";"http://videos.leparisien.fr/loisirs-et-spectacles/rss-loisirs-et-spectacles.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Ile-de-France & Oise";"http://videos.leparisien.fr/ile-de-france-et-oise/rss-ile-de-france-et-oise.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Rendez-vous";"http://videos.leparisien.fr/les-rendez-vous/rss-les-rendez-vous.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"LeFigaro.fr - La Une";"http://www.lefigaro.fr/rss/figaro_actualites.xml";"oui";"oui";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Flash Actu";"http://www.lefigaro.fr/rss/figaro_flash-actu.xml";"oui";"oui";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Politique";"http://www.lefigaro.fr/rss/figaro_politique.xml";"oui";"oui";"non";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Le Scan Politique";"http://www.lefigaro.fr/rss/figaro_politique_le-scan.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - International";"http://www.lefigaro.fr/rss/figaro_international.xml";"oui";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Société";"http://www.lefigaro.fr/rss/figaro_actualite-france.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Vox";"http://www.lefigaro.fr/rss/figaro_vox.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Sciences et Environnement";"http://www.lefigaro.fr/rss/figaro_sciences.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Santé";"http://www.lefigaro.fr/rss/figaro_sante.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"LeFigaro.fr - Blogs";"http://blog.lefigaro.fr/flux.php?blog=59&date=20091012";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Le Figaro Magazine";"http://www.lefigaro.fr/rss/figaro_lefigaromagazine.xml";"oui";"oui";"non";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Vidéos";"http://www.lefigaro.fr/rss/figaro_videos.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"LeFigaro.fr - Photos";"http://www.lefigaro.fr/rss/figaro_photos.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"LeFigaro.fr - Madame";"http://madame.lefigaro.fr/rss/madame.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"oui";"oui";"oui";"non";"non";"non"
"LeFigaro.fr - TVmag";"http://tvmag.lefigaro.fr/rss/tvmag.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"LeFigaro.fr - Etudiant";"http://etudiant.lefigaro.fr/rss/figaro_etudiant.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non"
"LeFigaro.fr - La Une Eco";"http://www.lefigaro.fr/rss/figaro_economie.xml";"oui";"oui";"non";"non";"non";"oui";"non";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Le Scan Eco";"http://www.lefigaro.fr/rss/figaro_economie_le-scan-eco.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Le Flash Eco";"http://www.lefigaro.fr/rss/figaro_flash-eco.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LeFigaro.fr - Sociétés";"http://www.lefigaro.fr/rss/figaro_societes.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Médias";"http://www.lefigaro.fr/rss/figaro_medias.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Tech & Web";"http://www.lefigaro.fr/rss/figaro_secteur_high-tech.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Immobilier";"http://www.lefigaro.fr/rss/figaro_immobilier.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LeFigaro.fr - Bourse";"http://www.lefigaro.fr/rss/figaro_bourse.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LeFigaro.fr - Assurance";"http://www.lefigaro.fr/rss/figaro_assurance.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LeFigaro.fr - Retraite";"http://www.lefigaro.fr/rss/figaro_retraite.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"oui";"non";"oui";"non";"non";"non"
"LeFigaro.fr - Placement";"http://www.lefigaro.fr/rss/figaro_placement.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"oui";"non";"oui";"non";"non";"non"
"LeFigaro.fr - Impots";"http://www.lefigaro.fr/rss/figaro_impots.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LeFigaro.fr - Consommation";"http://www.lefigaro.fr/rss/figaro_conso.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"oui";"non";"oui";"non";"non";"non"
"LeFigaro.fr - Emploi";"http://www.lefigaro.fr/rss/figaro_emploi.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"oui";"non"
"LeFigaro.fr - Finance Perso";"www.lefigaro.fr/rss/figaro_finances-perso.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LeFigaro.fr - Management";"www.lefigaro.fr/rss/figaro_management.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"LeFigaro.fr - La Une Culture";"http://www.lefigaro.fr/rss/figaro_culture.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Cinema";"http://www.lefigaro.fr/rss/figaro_cinema.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Musique";"http://www.lefigaro.fr/rss/figaro_musique.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Livres";"http://www.lefigaro.fr/rss/figaro_livres.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Theatre";"http://www.lefigaro.fr/rss/figaro_theatre.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Arts et Expositions";"http://www.lefigaro.fr/rss/figaro_arts-expositions.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - Histoire";"http://www.lefigaro.fr/rss/figaro_histoire.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"LeFigaro.fr - La Une Lifestyle";"http://www.lefigaro.fr/rss/figaro_lifestyle.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"LeFigaro.fr - Automobile";"http://www.lefigaro.fr/rss/figaro_automobile.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
